BPCOD,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_9,BP1_11,BP1_34
3,2,12,1,1,1,NA,NA,3000
2,7,12,1,9,1,NA,NA,9999999
4,7,12,1,2,2,NA,NA,200
5,10,12,1,2,1,2,6,1500
2,2,12,1,4,1,NA,NA,500
8,4,12,1,1,5,NA,NA,1000
5,3,12,1,3,1,2,3,2220
9,6,12,1,2,1,1,5,NA
2,8,12,1,4,1,4,8,30000
4,8,12,1,1,2,NA,NA,5000
10,8,12,1,3,2,2,5,15000
9,7,12,1,2,2,1,5,0
1,10,12,1,2,4,NA,NA,10000
5,12,12,1,3,6,9,9,400
7,11,12,1,1,8,NA,NA,2800
10,1,12,1,2,1,2,3,NA
9,7,12,1,2,4,9,5,0
4,10,12,1,3,2,NA,NA,3000
9,12,12,1,1,8,1,9,0
2,4,12,1,9,1,NA,NA,3000
10,8,12,1,3,1,1,4,0
3,9,12,1,9,2,NA,NA,0
4,1,12,1,3,2,1,6,20000
4,9,4,2,3,2,NA,NA,6000
7,2,4,2,2,2,NA,NA,NA
9,12,4,2,2,8,1,4,NA
2,4,4,2,4,1,NA,NA,6000
4,12,4,2,3,2,4,3,90000
4,10,4,2,3,2,NA,NA,5000
10,10,4,2,2,2,1,4,NA
3,1,4,2,4,2,NA,NA,500
8,2,4,2,1,1,NA,NA,30000
6,12,4,2,1,2,NA,NA,200
10,6,4,2,3,1,1,4,NA
13,12,4,2,1,3,1,7,0
6,99,4,2,4,2,NA,NA,3000
2,11,4,2,4,1,NA,NA,1500
9,3,4,2,2,2,1,5,NA
4,4,4,2,2,2,1,4,4000
2,11,4,2,3,1,NA,NA,3000
6,8,4,2,4,2,NA,NA,9999999
4,6,4,2,3,2,NA,NA,NA
4,8,4,2,3,2,NA,NA,5000
13,11,4,2,2,1,1,6,0
5,8,4,2,4,1,2,5,0
13,2,4,2,1,1,1,5,0
8,7,4,2,2,2,NA,NA,8500
7,6,4,2,4,2,NA,NA,5000
4,11,4,2,3,2,1,4,NA
5,8,4,2,3,1,1,4,NA
10,10,4,2,2,8,1,6,70000
4,8,4,2,2,2,NA,NA,15000
8,6,4,2,2,2,NA,NA,800
9,5,4,2,3,3,NA,NA,0
8,2,4,2,2,2,NA,NA,NA
7,6,4,2,9,9,NA,NA,500
9,1,4,2,1,8,1,9,NA
5,6,4,2,2,5,1,5,4500
3,7,4,2,4,1,NA,NA,0
5,11,4,2,3,1,2,8,0
4,11,4,2,4,2,NA,NA,2000
8,12,4,2,2,2,NA,NA,1000
9,11,4,2,2,2,2,5,0
5,3,4,2,3,1,2,4,12000
5,9,4,2,1,1,4,2,6000
13,5,4,2,3,1,1,6,0
6,12,4,2,1,2,NA,NA,400
8,12,4,2,2,2,NA,NA,NA
3,2,4,2,2,4,NA,NA,1500
15,5,4,2,3,2,NA,NA,NA
7,8,4,2,3,8,NA,NA,160
7,6,4,2,1,8,NA,NA,NA
4,11,4,2,2,2,NA,NA,3000
2,3,4,2,3,1,NA,NA,1500
10,10,4,2,2,1,1,4,NA
2,10,4,2,4,1,NA,NA,250
8,12,4,2,2,2,NA,NA,NA
4,4,4,2,4,2,NA,NA,1000
9,12,4,2,2,2,NA,NA,NA
8,12,4,2,9,2,NA,NA,2000
10,3,4,2,2,3,NA,NA,0
9,10,4,2,2,8,NA,NA,0
4,9,4,2,3,2,NA,NA,NA
11,10,4,2,3,2,1,5,0
13,1,4,2,2,1,9,5,0
6,6,4,2,3,1,NA,NA,30000
13,1,4,2,3,1,1,4,0
3,2,4,2,1,1,NA,NA,5000
7,3,4,2,3,2,NA,NA,20000
9,2,4,2,1,2,NA,NA,NA
10,3,4,2,2,3,2,5,NA
9,10,4,2,1,3,1,5,0
7,10,4,2,2,3,NA,NA,700
5,3,4,2,3,1,1,4,0
4,10,4,2,4,2,NA,NA,2000
4,9,4,2,2,2,NA,NA,4000
10,12,4,2,1,1,1,5,NA
5,2,4,2,2,1,3,8,65000
4,9,4,2,4,2,NA,NA,20000
7,11,4,2,1,5,NA,NA,NA
4,1,4,2,4,2,NA,NA,12000
9,3,4,2,3,7,2,6,0
3,11,4,2,2,1,NA,NA,300
7,9,4,2,1,2,NA,NA,4000
10,11,4,2,1,1,2,5,0
4,6,4,2,1,2,NA,NA,10000
3,12,4,2,4,2,NA,NA,800
6,10,4,2,4,2,NA,NA,5000
9,9,4,2,2,8,1,6,0
5,6,4,2,4,7,2,9,8700
9,12,4,2,2,2,1,9,NA
4,3,4,2,4,2,NA,NA,700
2,7,4,2,4,1,NA,NA,1500
3,6,4,2,2,5,NA,NA,20000
5,1,4,2,4,1,1,6,2000
2,12,4,2,2,2,NA,NA,9999999
5,11,4,2,4,1,1,4,1500
4,6,4,2,3,2,NA,NA,NA
2,6,4,2,3,1,NA,NA,2000
6,9,4,2,2,2,NA,NA,600
4,10,4,2,3,2,NA,NA,NA
9,1,4,2,2,2,NA,NA,NA
4,3,4,2,1,2,1,6,NA
3,12,4,2,4,2,NA,NA,100
7,99,4,2,1,3,NA,NA,0
13,9,4,2,2,1,1,6,0
7,1,4,2,3,8,NA,NA,NA
7,7,4,2,3,1,NA,NA,4500
2,3,4,2,4,1,NA,NA,1200
2,12,4,2,3,2,NA,NA,3500
4,10,4,2,4,2,NA,NA,12000
10,12,4,2,2,1,NA,NA,0
3,4,4,2,2,2,NA,NA,NA
2,3,4,2,4,1,NA,NA,300
9,9,4,2,1,2,3,9,0
5,6,4,2,3,1,2,4,7000
4,5,4,2,3,2,NA,NA,NA
13,7,4,2,2,5,1,4,0
9,10,4,2,3,3,NA,NA,0
5,8,4,2,3,1,1,3,3500
2,9,4,2,3,4,NA,NA,10000
8,7,4,2,2,8,NA,NA,10000
5,12,4,2,3,1,1,3,2000
9,2,4,2,2,1,1,3,NA
8,11,4,2,1,8,NA,NA,600
9,11,4,2,1,8,1,9,NA
3,2,4,2,1,2,NA,NA,350
8,2,4,2,2,8,NA,NA,45000
4,3,4,2,2,2,1,6,NA
7,6,4,2,1,8,NA,NA,20000
1,10,4,2,4,1,NA,NA,40000
10,12,4,2,1,1,1,3,NA
5,11,4,2,3,1,4,4,60000
10,8,4,2,3,2,1,4,0
13,5,4,2,3,1,1,5,NA
5,6,4,2,2,1,2,4,NA
4,3,4,2,3,2,NA,NA,10000
4,4,4,2,1,2,1,3,7000
10,12,4,2,1,8,NA,NA,NA
1,3,4,2,2,1,NA,NA,200000
3,3,4,2,3,2,NA,NA,9999999
6,10,4,2,2,4,NA,NA,200
8,1,4,2,1,8,NA,NA,500
5,9,4,2,3,1,2,5,NA
6,3,4,2,2,4,NA,NA,0
4,3,4,2,4,2,NA,NA,10000
7,7,4,2,1,5,NA,NA,NA
10,2,4,2,2,3,1,5,NA
9,12,4,2,1,1,3,5,NA
4,11,4,2,3,2,NA,NA,500
4,2,4,2,3,2,NA,NA,NA
8,6,4,2,2,2,NA,NA,2000
6,12,4,2,3,2,NA,NA,NA
2,10,4,2,4,1,NA,NA,3000
10,9,4,2,2,4,2,5,0
3,7,4,2,2,2,NA,NA,NA
14,11,4,2,3,2,1,4,0
4,12,4,2,4,2,NA,NA,NA
1,1,4,2,1,1,NA,NA,100000
3,5,4,2,4,2,NA,NA,NA
10,4,4,2,2,1,1,3,NA
3,9,4,2,9,1,NA,NA,500
9,12,4,2,2,5,1,4,NA
9,7,4,2,2,1,1,4,NA
4,1,4,2,1,2,NA,NA,NA
3,8,4,2,4,2,NA,NA,NA
4,12,4,2,3,2,NA,NA,1500
10,2,4,2,2,3,2,4,0
8,12,4,2,1,8,NA,NA,800
7,12,4,2,9,9,NA,NA,100
10,6,4,2,1,1,1,7,NA
8,11,4,2,2,8,NA,NA,698
3,11,4,2,1,1,NA,NA,2000
13,10,4,2,1,6,1,6,NA
7,4,4,2,2,8,NA,NA,3000
9,5,4,2,1,2,1,9,4100
10,7,4,2,3,8,2,5,0
4,3,4,2,3,2,NA,NA,25000
6,10,4,2,2,2,NA,NA,200
3,1,4,2,3,2,NA,NA,300
2,1,4,2,4,1,NA,NA,500
4,2,4,2,1,2,1,4,0
3,3,4,2,3,1,NA,NA,300
3,6,4,2,3,1,NA,NA,NA
7,10,4,2,2,8,NA,NA,0
4,1,4,2,1,2,NA,NA,10000
7,6,4,2,2,8,NA,NA,5000
9,12,4,2,2,8,2,9,NA
7,9,4,2,2,2,NA,NA,100
7,8,4,2,2,6,NA,NA,300
4,1,4,2,1,2,1,6,4000
5,1,4,2,2,5,1,4,200
12,12,4,2,1,1,2,4,NA
4,6,4,2,9,2,NA,NA,80
7,11,4,2,3,2,NA,NA,NA
2,6,4,2,1,2,NA,NA,NA
6,5,4,2,1,2,NA,NA,NA
8,12,4,2,3,8,NA,NA,NA
11,2,4,2,1,2,2,4,3000
6,5,4,2,3,2,NA,NA,23000
4,1,4,2,4,2,2,8,0
13,9,4,2,2,5,2,4,0
3,9,4,2,4,2,NA,NA,1000
8,3,4,2,3,4,NA,NA,26000
3,11,4,2,3,3,NA,NA,NA
4,10,4,2,4,2,NA,NA,500
7,11,4,2,3,8,NA,NA,2500
2,2,4,2,4,1,NA,NA,4000
2,9,4,2,4,1,NA,NA,700
4,12,4,2,4,2,NA,NA,2000
9,11,4,2,2,8,1,4,NA
4,10,4,2,1,2,NA,NA,9999999
3,8,4,2,4,2,NA,NA,100
2,7,4,2,4,1,NA,NA,250
10,9,4,2,1,1,1,6,0
2,9,4,2,2,1,NA,NA,1200
5,1,4,2,3,5,1,4,3000
3,12,4,2,4,2,NA,NA,500
11,11,4,2,3,3,1,4,0
4,6,4,2,3,2,NA,NA,NA
2,1,4,2,4,1,NA,NA,3000
2,2,4,2,4,1,NA,NA,4000
2,6,4,2,4,1,NA,NA,4000
4,3,4,2,3,2,NA,NA,350
2,7,4,2,1,5,NA,NA,4000
4,9,4,2,1,2,1,3,0
10,12,4,2,4,2,NA,NA,0
3,9,4,2,9,1,NA,NA,500
9,1,4,2,2,2,1,9,NA
4,10,4,2,2,2,NA,NA,500
1,2,4,2,4,1,NA,NA,45000
7,3,4,2,4,8,NA,NA,15000
8,12,4,2,2,8,NA,NA,300
7,3,4,2,2,8,NA,NA,70000
3,6,4,2,4,2,NA,NA,NA
10,9,4,2,3,2,1,4,0
4,5,4,2,9,2,NA,NA,28000
6,6,4,2,1,1,NA,NA,10000
8,10,4,2,2,8,NA,NA,800
2,1,4,2,2,1,NA,NA,1000
5,12,4,2,2,5,3,8,7000
5,11,4,2,3,1,1,3,20000
6,9,4,2,3,2,NA,NA,200
9,9,4,2,1,4,2,5,NA
2,3,4,2,2,3,NA,NA,1000
4,1,4,2,1,2,NA,NA,NA
8,11,4,2,3,2,NA,NA,700
11,11,4,2,3,2,1,3,0
8,10,4,2,1,8,NA,NA,1500
4,1,4,2,1,2,NA,NA,2000
3,11,4,2,2,1,NA,NA,1000
5,11,4,2,1,1,1,6,2000
6,1,4,2,9,2,NA,NA,700
7,2,4,2,2,3,NA,NA,800
2,8,4,2,4,1,NA,NA,1500
4,12,4,2,4,2,NA,NA,3000
4,10,4,2,1,2,NA,NA,60000
5,9,4,2,3,1,2,4,4000
4,12,4,2,1,2,1,4,NA
14,12,4,2,3,2,1,4,0
2,11,4,2,4,1,NA,NA,2500
4,7,4,2,4,2,NA,NA,5000
4,1,4,2,3,2,NA,NA,50000
8,11,4,2,1,8,NA,NA,2800
6,2,4,2,3,1,4,4,46000
9,12,4,2,3,2,9,9,NA
8,5,4,2,2,8,NA,NA,600
4,11,4,2,1,2,1,3,0
13,11,4,2,3,5,1,4,0
4,9,4,2,4,2,NA,NA,7000
15,2,4,2,2,3,NA,NA,6000
5,11,4,2,2,1,2,4,0
2,10,4,2,2,2,NA,NA,2000
5,7,4,2,2,5,2,3,800
3,7,4,2,2,4,NA,NA,6000
3,2,4,2,3,2,NA,NA,NA
5,9,4,2,1,1,1,5,0
10,6,4,2,2,2,1,6,0
11,6,4,2,4,1,1,4,0
6,10,4,2,2,1,NA,NA,500
9,6,4,2,1,8,2,3,0
4,6,4,2,4,2,NA,NA,20000
8,11,4,2,1,5,NA,NA,10000
4,3,4,2,1,2,NA,NA,9999999
10,4,4,2,2,2,1,5,0
3,5,4,2,2,1,NA,NA,4000
13,3,4,2,1,1,1,4,0
3,1,4,2,4,5,NA,NA,6000
8,12,4,2,2,2,NA,NA,1099
6,2,4,2,4,2,NA,NA,35000
10,2,4,2,2,1,1,4,NA
13,11,4,2,3,8,2,3,0
8,3,4,2,2,8,NA,NA,NA
9,9,4,2,2,1,2,5,NA
6,2,4,2,4,2,NA,NA,6000
3,1,4,2,2,1,NA,NA,1000
7,12,4,2,1,8,NA,NA,3000
8,12,4,2,2,2,NA,NA,1800
4,5,4,2,1,2,NA,NA,NA
11,1,4,2,2,4,1,4,NA
6,12,4,2,4,2,NA,NA,1900
7,7,4,2,4,8,NA,NA,17000
5,11,4,2,1,6,9,9,100
3,1,4,2,4,2,NA,NA,NA
9,5,4,2,2,1,1,5,0
13,2,4,2,3,1,1,4,0
2,9,4,2,4,1,NA,NA,1500
6,3,4,2,2,2,NA,NA,4000
8,8,4,2,2,1,NA,NA,NA
10,12,4,2,3,1,1,5,0
2,12,4,2,3,2,NA,NA,3000
4,1,4,2,1,2,NA,NA,NA
7,12,4,2,2,8,NA,NA,NA
7,9,4,2,3,8,NA,NA,15000
2,6,4,2,4,1,NA,NA,250
4,11,4,2,4,2,2,5,2000
7,1,4,2,2,3,NA,NA,6000
8,12,4,2,1,2,NA,NA,3500
7,4,4,2,1,3,NA,NA,200
8,4,4,2,9,2,NA,NA,150
13,7,4,2,3,1,1,4,NA
3,5,4,2,3,1,NA,NA,200
8,12,4,2,1,8,NA,NA,4785
2,8,4,2,4,1,NA,NA,2500
10,4,4,2,2,2,2,4,0
4,3,4,2,4,2,NA,NA,20000
4,2,4,2,1,2,NA,NA,30000
4,1,4,2,9,2,NA,NA,NA
13,10,4,2,1,1,1,6,0
5,12,4,2,1,4,9,9,2400
2,1,4,2,3,5,NA,NA,6000
13,10,4,2,3,4,1,3,0
9,6,4,2,2,2,NA,NA,0
2,10,4,2,1,1,NA,NA,600
13,7,4,2,3,1,1,4,0
11,5,4,2,3,1,2,4,0
2,2,4,2,3,1,NA,NA,600
11,12,4,2,2,2,1,6,NA
2,4,4,2,1,1,NA,NA,350
2,11,4,2,4,1,NA,NA,NA
4,1,4,2,4,2,NA,NA,NA
11,2,4,2,2,2,1,6,0
6,4,4,2,4,2,NA,NA,3000
7,11,4,2,3,4,NA,NA,3500
4,9,4,2,4,2,NA,NA,0
4,10,4,2,4,2,NA,NA,11000
10,5,4,2,2,1,1,5,NA
2,1,4,2,1,1,NA,NA,4000
8,10,4,2,3,8,NA,NA,800
13,8,4,2,3,1,1,4,0
3,5,4,2,4,1,NA,NA,NA
2,5,4,2,9,2,NA,NA,5000
4,11,4,2,2,2,1,4,10000
4,7,4,2,4,2,NA,NA,NA
7,11,4,2,2,2,NA,NA,4000
5,2,4,2,2,6,2,9,3000
9,1,4,2,2,2,NA,NA,NA
14,7,4,2,3,4,1,3,0
2,7,4,2,4,1,NA,NA,1000
6,9,4,2,3,2,NA,NA,5000
4,5,4,2,3,2,NA,NA,15000
6,2,4,2,3,1,NA,NA,NA
1,8,4,2,3,1,NA,NA,0
13,5,4,2,2,1,1,4,0
7,2,4,2,1,8,NA,NA,30000
3,2,4,2,1,2,NA,NA,0
7,3,4,2,1,5,NA,NA,1200
10,11,4,2,1,3,1,5,9999999
2,3,4,2,2,1,NA,NA,2500
7,5,4,2,1,3,NA,NA,80
3,10,4,2,4,1,NA,NA,6000
13,12,4,2,3,1,1,6,0
10,11,4,2,3,2,1,4,0
4,11,4,2,2,2,1,6,1000
7,9,4,2,3,1,NA,NA,NA
4,12,4,2,4,2,NA,NA,NA
8,9,4,2,1,2,NA,NA,9999999
10,9,4,2,1,1,1,5,0
7,11,4,2,3,8,NA,NA,5000
9,12,4,2,3,8,1,4,NA
9,8,4,2,2,2,NA,NA,NA
3,3,4,2,2,1,NA,NA,3000
5,9,4,2,1,1,1,5,600
4,9,4,2,4,2,NA,NA,1500
13,11,4,2,3,1,1,5,0
2,1,4,2,1,1,NA,NA,5000
7,12,4,2,3,1,NA,NA,NA
3,2,4,2,3,2,NA,NA,3500
3,5,4,2,9,2,NA,NA,NA
9,6,4,2,1,2,1,5,0
9,6,4,2,2,8,NA,NA,NA
2,2,4,2,2,1,2,3,5000
6,4,4,2,1,2,1,4,NA
2,5,4,2,3,2,NA,NA,NA
3,5,4,2,3,3,NA,NA,500
4,6,4,2,4,2,NA,NA,NA
3,3,4,2,9,1,NA,NA,400
8,2,4,2,1,1,NA,NA,NA
2,9,4,2,1,1,NA,NA,259
9,6,4,2,2,8,NA,NA,0
4,1,4,2,2,2,NA,NA,1500
9,6,4,2,3,2,1,4,0
2,11,4,2,3,1,NA,NA,7000
11,11,4,2,3,4,4,8,0
9,8,4,2,1,2,NA,NA,NA
2,11,4,2,3,1,NA,NA,4200
11,1,4,2,4,8,1,3,0
5,1,4,2,3,1,1,4,13000
5,8,4,2,3,1,2,5,9000
5,2,4,2,3,1,1,4,2500
6,5,4,2,4,2,NA,NA,200
7,11,4,2,4,8,NA,NA,50000
5,10,4,2,2,5,2,5,51
8,12,4,2,3,8,NA,NA,6000
7,9,4,2,1,4,NA,NA,8000
4,7,4,2,2,2,NA,NA,1700
9,10,4,2,1,2,NA,NA,NA
4,9,4,2,1,2,NA,NA,NA
1,2,4,2,4,2,NA,NA,22000
11,3,4,2,1,3,1,5,0
8,7,4,2,2,8,NA,NA,300
8,11,4,2,2,2,NA,NA,10000
4,12,4,2,1,2,NA,NA,4000
6,5,4,2,4,2,NA,NA,5000
7,9,4,2,1,8,NA,NA,500
2,6,4,2,4,1,NA,NA,3000
13,2,4,2,3,2,1,6,0
4,11,4,2,4,2,1,4,NA
7,10,4,2,3,4,NA,NA,NA
3,12,4,2,4,1,NA,NA,2500
4,2,4,2,3,2,NA,NA,9999999
7,10,4,2,1,8,NA,NA,500
9,3,4,2,2,1,2,4,NA
5,12,4,2,1,6,9,9,NA
5,10,4,2,3,4,1,6,4000
2,9,4,2,3,1,NA,NA,4000
11,12,4,2,1,1,3,4,NA
3,6,4,2,2,2,NA,NA,4000
9,2,4,2,2,3,NA,NA,0
9,2,4,2,1,3,2,3,1000
4,8,4,2,3,2,NA,NA,1500
10,10,4,2,1,1,NA,NA,0
8,12,4,2,2,8,NA,NA,NA
1,3,4,2,4,1,NA,NA,80000
4,10,4,2,1,2,NA,NA,9999999
10,7,4,2,2,1,1,6,0
4,10,4,2,4,2,NA,NA,60000
2,2,4,2,2,2,NA,NA,1500
2,3,4,2,2,1,NA,NA,3000
6,12,4,2,3,1,NA,NA,40000
12,3,4,2,2,1,3,5,50000
6,9,4,2,4,4,NA,NA,10000
4,10,4,2,3,2,NA,NA,8500
2,12,4,2,4,2,NA,NA,800
2,6,4,2,1,1,NA,NA,500
13,2,4,2,2,6,1,9,NA
2,11,4,2,3,1,1,6,5000
4,11,4,2,3,2,NA,NA,9999999
2,99,4,2,4,1,NA,NA,1200
10,11,4,2,3,2,2,4,NA
10,11,4,2,3,2,1,4,0
4,2,4,2,3,2,2,3,NA
7,4,4,2,1,8,NA,NA,NA
7,7,4,2,1,8,NA,NA,7000
7,3,4,2,3,8,NA,NA,NA
3,8,4,2,4,5,NA,NA,7900
4,11,4,2,4,2,NA,NA,300
11,12,4,2,2,2,1,4,9999999
8,7,4,2,2,2,NA,NA,2000
3,5,4,2,4,2,NA,NA,NA
13,12,4,2,2,2,1,4,9999999
10,12,4,2,3,1,NA,NA,0
9,11,4,2,2,2,NA,NA,NA
3,12,4,2,3,2,NA,NA,9999999
4,2,4,2,3,2,NA,NA,20000
4,3,4,2,1,2,1,6,NA
9,9,4,2,2,2,NA,NA,NA
13,12,4,2,2,3,1,4,0
5,3,4,2,4,1,2,5,23300
2,5,4,2,2,4,NA,NA,4000
13,11,4,2,3,6,1,6,NA
8,10,4,2,2,8,NA,NA,700
2,3,4,2,1,1,NA,NA,8000
2,5,4,2,3,1,NA,NA,800
2,5,4,2,3,1,NA,NA,259
7,8,4,2,3,2,NA,NA,12000
3,3,4,2,4,5,NA,NA,4300
2,9,4,2,4,2,NA,NA,3000
6,4,4,2,4,2,NA,NA,5000
5,4,4,2,2,1,2,9,3200
8,11,30,193,2,4,NA,NA,10000
13,2,30,193,1,1,1,4,0
7,11,30,193,2,2,NA,NA,3000
3,9,30,193,2,1,NA,NA,1000
4,2,30,193,4,2,NA,NA,17000
7,3,30,193,2,1,NA,NA,18000
3,8,30,193,2,3,NA,NA,3000
9,9,30,193,1,2,1,4,6000
13,1,30,193,2,1,1,4,0
5,12,30,193,3,1,9,9,500
8,9,30,193,1,3,NA,NA,600
5,4,30,193,4,1,1,3,0
9,3,30,193,3,1,NA,NA,0
5,8,30,193,2,5,2,4,800
8,9,30,193,1,8,NA,NA,2500
10,8,30,193,3,1,1,6,0
5,10,30,193,3,1,2,5,11000
5,2,30,193,1,1,4,5,5000
5,3,30,193,3,1,2,4,5000
9,11,30,193,1,3,NA,NA,NA
13,10,30,193,4,1,1,4,0
8,8,30,193,1,4,NA,NA,3000
2,6,30,193,2,1,NA,NA,350
5,8,30,193,3,1,2,3,4000
7,9,30,193,2,8,NA,NA,11000
4,12,30,193,2,2,NA,NA,2000
4,1,30,193,4,2,NA,NA,1800
9,12,30,193,1,2,1,9,0
10,2,30,193,2,1,1,5,NA
10,9,30,193,3,1,1,6,0
10,10,30,193,3,1,1,6,0
1,8,30,193,2,1,3,4,300000
2,1,30,193,9,7,NA,NA,3000
5,6,30,193,2,1,1,9,4000
5,11,30,193,2,8,1,4,3000
9,1,30,193,1,2,1,9,0
10,12,30,193,1,1,1,6,0
5,8,30,193,1,1,2,4,3000
2,7,30,193,2,4,NA,NA,9999999
10,6,30,193,3,1,1,5,NA
5,11,30,193,2,1,1,5,11000
8,8,30,193,3,2,NA,NA,10000
5,6,30,193,1,6,2,3,4500
9,4,30,193,1,2,1,9,0
8,11,30,193,2,1,NA,NA,500
9,3,30,193,3,2,1,6,0
7,3,30,193,1,4,NA,NA,NA
11,8,30,193,3,1,2,9,9999999
4,11,30,193,1,2,NA,NA,4000
8,4,30,193,3,8,NA,NA,470
9,6,30,193,1,2,1,9,0
10,10,30,193,9,2,2,9,0
3,3,30,193,1,1,NA,NA,1000
5,2,30,193,3,5,3,4,4000
10,9,30,193,3,1,1,6,0
4,8,30,193,2,2,NA,NA,25000
4,12,30,193,2,2,NA,NA,1200
7,1,30,193,2,4,NA,NA,6000
2,4,30,193,2,2,NA,NA,800
10,10,30,193,1,1,1,4,NA
10,5,30,193,3,2,NA,NA,0
4,8,30,193,2,2,NA,NA,32000
8,10,30,193,1,1,NA,NA,400
9,2,30,193,1,2,1,9,0
8,8,30,193,2,4,NA,NA,1000
10,7,27,4,1,3,1,4,NA
3,11,27,4,1,3,NA,NA,9999999
6,12,27,4,4,3,NA,NA,500
9,9,27,4,2,3,2,5,NA
9,2,27,4,1,2,NA,NA,NA
8,2,27,4,2,4,NA,NA,8000
13,9,27,4,1,1,1,6,0
1,99,27,4,3,1,NA,NA,90000
2,12,27,4,1,1,NA,NA,2000
3,12,27,4,4,2,NA,NA,100
4,4,27,4,1,2,NA,NA,8000
6,4,27,4,4,2,NA,NA,6000
7,7,27,4,2,2,NA,NA,800
2,6,27,4,4,1,NA,NA,2000
2,3,27,4,4,2,NA,NA,2000
2,12,27,4,4,1,NA,NA,3000
5,10,27,4,2,4,2,6,5000
13,10,27,4,3,6,1,5,0
9,4,27,4,2,1,NA,NA,NA
10,12,27,4,1,1,NA,NA,0
13,1,27,4,1,1,5,5,0
3,1,27,4,3,1,NA,NA,2500
2,11,27,4,2,5,NA,NA,6800
6,9,27,4,2,2,NA,NA,200
6,6,27,4,1,2,NA,NA,150
7,7,27,4,3,3,NA,NA,1300
5,2,27,4,2,6,3,4,3000
9,9,27,4,9,3,2,5,NA
11,6,27,4,1,6,1,6,NA
3,5,27,4,4,1,NA,NA,0
4,12,27,4,3,2,1,3,13000
9,11,27,4,1,2,NA,NA,0
3,99,27,4,3,1,NA,NA,0
13,11,27,4,3,1,2,6,NA
8,5,27,4,2,2,NA,NA,4000
5,12,27,4,2,1,2,4,5000
7,12,27,4,2,2,NA,NA,20000
6,4,27,4,4,2,NA,NA,0
10,12,27,4,2,5,2,5,0
9,12,27,4,2,1,NA,NA,0
6,2,27,4,2,2,NA,NA,1000
6,9,27,4,4,2,NA,NA,NA
5,1,27,4,1,1,1,6,4800
4,4,27,4,3,2,NA,NA,13000
10,8,27,4,2,2,1,4,0
7,12,27,4,3,2,NA,NA,800
13,11,27,4,3,8,1,3,0
6,1,27,4,1,2,NA,NA,5000
9,6,27,4,2,2,NA,NA,NA
9,12,27,4,1,2,NA,NA,NA
6,11,27,4,2,1,NA,NA,4000
2,99,27,4,1,1,NA,NA,9999999
5,12,27,4,3,1,2,4,2000
6,12,27,4,4,2,NA,NA,600
12,11,27,4,2,1,6,8,1000000
4,11,27,4,3,2,NA,NA,0
8,10,27,4,2,4,NA,NA,470
10,12,27,4,2,3,1,5,0
7,10,27,4,3,2,NA,NA,200
9,2,27,4,2,3,NA,NA,NA
10,7,27,4,2,2,NA,NA,0
8,9,27,4,2,1,NA,NA,NA
2,5,27,4,3,5,NA,NA,1500
9,5,27,4,1,8,1,6,0
6,10,27,4,4,2,NA,NA,2000
2,8,27,4,4,2,NA,NA,2000
2,3,27,4,3,2,NA,NA,2500
3,12,27,4,2,1,NA,NA,15000
9,12,27,4,2,3,NA,NA,NA
10,4,27,4,2,1,4,3,NA
2,9,27,4,2,1,NA,NA,4000
9,10,27,4,2,3,1,4,NA
13,2,27,4,3,1,1,4,0
10,10,27,4,1,3,2,5,NA
4,12,27,4,2,2,NA,NA,3600
7,6,27,4,3,2,NA,NA,NA
1,9,27,4,9,1,NA,NA,120000
4,12,27,4,3,2,NA,NA,0
5,4,27,4,4,6,3,3,3500
5,12,27,4,1,4,1,2,NA
13,9,27,4,1,5,1,4,0
2,2,27,4,2,1,NA,NA,5000
4,4,27,4,2,2,NA,NA,3000
2,9,27,4,3,1,NA,NA,950
2,9,27,4,2,5,NA,NA,3000
5,5,27,4,3,6,6,5,7000
6,11,27,4,3,2,NA,NA,1000
7,4,27,4,3,4,NA,NA,500
3,11,27,4,1,2,NA,NA,NA
13,12,27,4,4,4,1,4,0
11,3,27,4,2,5,1,3,0
4,12,27,4,1,2,2,8,1500
6,8,27,4,1,2,NA,NA,150
6,10,27,4,3,2,NA,NA,700
10,99,27,4,9,8,NA,NA,NA
7,11,27,4,3,2,NA,NA,150
10,9,27,4,2,2,NA,NA,0
4,11,27,4,4,2,NA,NA,1500
5,2,27,4,2,1,1,5,7300
11,8,27,4,3,2,6,5,0
5,7,27,4,2,6,2,4,20000
3,6,27,4,2,1,NA,NA,15000
10,11,27,4,3,2,NA,NA,0
7,3,27,4,1,3,NA,NA,5000
3,12,27,4,1,5,NA,NA,8000
5,8,27,4,2,1,2,8,0
5,11,27,4,3,1,2,4,5000
9,2,27,4,2,1,3,4,4000
2,2,27,4,3,1,NA,NA,0
13,7,27,4,2,6,1,5,9999999
13,7,27,4,1,1,1,5,0
6,2,27,4,2,2,NA,NA,700
6,2,27,4,2,2,NA,NA,3000
1,11,27,4,2,5,NA,NA,10000
5,11,27,4,1,1,9,9,600
8,5,27,4,1,4,NA,NA,200
5,7,27,4,2,1,2,2,100
6,4,27,4,1,6,NA,NA,150
5,11,27,4,1,1,9,9,3000
6,7,27,4,4,2,1,4,NA
9,5,27,4,1,3,NA,NA,0
5,8,27,4,2,6,1,4,NA
9,12,27,4,3,2,NA,NA,NA
